Log della sequenza DWIN generato il: 20/10/2025 15:46:04
Totale messaggi: 65798
--- INIZIO SEQUENZA ---
Msg 00000: ID=500, Len=8, Data=[F0 00 01 01 04 00 00 00]
Msg 00001: ID=500, Len=8, Data=[00 44 47 55 53 5F 33 5A]
Msg 00002: ID=500, Len=8, Data=[07 0A 00 00 C0 E8 04 00]
Msg 00003: ID=500, Len=8, Data=[0E 04 00 00 00 00 24 00]
Msg 00004: ID=500, Len=8, Data=[15 00 59 10 00 00 73 08]
Msg 00005: ID=500, Len=8, Data=[1C 00 00 8D 00 00 00 A6]
Msg 00006: ID=500, Len=8, Data=[23 F8 03 20 01 E0 02 72]
Msg 00007: ID=500, Len=8, Data=[2A 00 00 56 70 FF D8 FF]
Msg 00008: ID=500, Len=8, Data=[31 E0 00 10 4A 46 49 46]
Msg 00009: ID=500, Len=8, Data=[38 00 01 01 01 00 78 00]
Msg 00010: ID=500, Len=8, Data=[3F 78 00 00 FF DB 00 43]
Msg 00011: ID=500, Len=8, Data=[46 00 03 02 02 03 02 02]
Msg 00012: ID=500, Len=8, Data=[4D 03 03 03 03 04 03 03]
Msg 00013: ID=500, Len=8, Data=[54 04 05 08 05 05 04 04]
Msg 00014: ID=500, Len=8, Data=[5B 05 0A 07 07 06 08 0C]
Msg 00015: ID=500, Len=8, Data=[62 0A 0C 0C 0B 0A 0B 0B]
Msg 00016: ID=500, Len=8, Data=[69 0D 0E 12 10 0D 0E 11]
Msg 00017: ID=500, Len=8, Data=[70 0E 0B 0B 10 16 10 11]
Msg 00018: ID=500, Len=8, Data=[77 13 14 15 15 15 0C 0F]
Msg 00019: ID=500, Len=8, Data=[7E 17 18 16 14 18 12 14]
Msg 00020: ID=500, Len=8, Data=[85 15 14 FF DB 00 43 01]
Msg 00021: ID=500, Len=8, Data=[8C 03 04 04 05 04 05 09]
Msg 00022: ID=500, Len=8, Data=[93 05 05 09 14 0D 0B 0D]
Msg 00023: ID=500, Len=8, Data=[9A 14 14 14 14 14 14 14]
Msg 00024: ID=500, Len=8, Data=[A1 14 14 14 14 14 14 14]
Msg 00025: ID=500, Len=8, Data=[A8 14 14 14 14 14 14 14]
Msg 00026: ID=500, Len=8, Data=[AF 14 14 14 14 14 14 14]
Msg 00027: ID=500, Len=8, Data=[B6 14 14 14 14 14 14 14]
Msg 00028: ID=500, Len=8, Data=[BD 14 14 14 14 14 14 14]
Msg 00029: ID=500, Len=8, Data=[C4 14 14 14 14 14 14 14]
Msg 00030: ID=500, Len=8, Data=[CB 14 FF C0 00 11 08 01]
Msg 00031: ID=500, Len=8, Data=[D2 E0 03 20 03 01 22 00]
Msg 00032: ID=500, Len=8, Data=[D9 02 11 01 03 11 01 FF]
Msg 00033: ID=500, Len=8, Data=[E0 C4 00 1F 00 00 01 05]
Msg 00034: ID=500, Len=8, Data=[E7 01 01 01 01 01 01 00]
Msg 00035: ID=500, Len=8, Data=[EE 00 00 00 00 00 00 00]
Msg 00036: ID=500, Len=8, Data=[F1 F0 80 00 00 00 00 00]
Msg 00037: ID=500, Len=8, Data=[00 00 00 00 00 00 01 02]
Msg 00038: ID=500, Len=8, Data=[07 03 04 05 06 07 08 09]
Msg 00039: ID=500, Len=8, Data=[0E 0A 0B FF C4 00 B5 10]
Msg 00040: ID=500, Len=8, Data=[15 00 02 01 03 03 02 04]
Msg 00041: ID=500, Len=8, Data=[1C 03 05 05 04 04 00 00]
Msg 00042: ID=500, Len=8, Data=[23 01 7D 01 02 03 00 04]
Msg 00043: ID=500, Len=8, Data=[2A 11 05 12 21 31 41 06]
Msg 00044: ID=500, Len=8, Data=[31 13 51 61 07 22 71 14]
Msg 00045: ID=500, Len=8, Data=[38 32 81 91 A1 08 23 42]
Msg 00046: ID=500, Len=8, Data=[3F B1 C1 15 52 D1 F0 24]
Msg 00047: ID=500, Len=8, Data=[46 33 62 72 82 09 0A 16]
Msg 00048: ID=500, Len=8, Data=[4D 17 18 19 1A 25 26 27]
Msg 00049: ID=500, Len=8, Data=[54 28 29 2A 34 35 36 37]
Msg 00050: ID=500, Len=8, Data=[5B 38 39 3A 43 44 45 46]
Msg 00051: ID=500, Len=8, Data=[62 47 48 49 4A 53 54 55]
Msg 00052: ID=500, Len=8, Data=[69 56 57 58 59 5A 63 64]
